gene_id,gene_name,CPT0019990006,CPT0017440009,CPT0077290006
ENSG00000016402.11,IL20RA,361.0357,125.6188,3093.2262
ENSG00000016490.14,CLCA1,0,0,0
ENSG00000016602.9,CLCA4,660.5546,861.8756,0
ENSG00000016864.15,GLT8D1,186934.0104,140957.7357,175334.54
ENSG00000017260.18,ATP2C1,322274.0446,383885.8734,382546.7852
ENSG00000017427.14,IGF1,14007.34,9037.1929,13181.278
ENSG00000017483.13,SLC38A5,14464.8136,14506.5651,11455.6596
ENSG00000017797.10,RALBP1,364130.7437,225546.2246,322294.1974
ENSG00000018189.11,RUFY3,407632.8708,317925.225,411422.9104
ENSG00000018236.13,CNTN1,16867.2873,79.3082,5021.6857
ENSG00000018280.15,SLC11A1,112455.6583,48076.5675,43966.1172
ENSG00000018408.13,WWTR1,554482.8356,484424.1635,467877.192
ENSG00000018510.11,AGPS,403331.0996,291833.2149,423790.1633
ENSG00000018610.12,CXorf56,208056.8527,168810.7707,221165.6768
ENSG00000018625.13,ATP1A2,10122.9107,15283.6908,12279.3069
ENSG00000018699.10,TTC27,246637.8282,246252.3471,210654.3265
ENSG00000018869.15,ZNF582,17671.7098,23589.7163,17313.8228
ENSG00000019102.10,VSIG2,43328.4864,66388.4989,52545.3477
ENSG00000019144.15,PHLDB1,90565.7446,174598.6652,75462.2075
ENSG00000019169.10,MARCO,68997.9344,22863.9563,26139.2815
ENSG00000019186.8,CYP24A1,23073.1386,5684.4734,19206.9503
ENSG00000019485.11,PRDM11,26475.0029,37599.1363,20034.101
ENSG00000019505.6,SYT13,321347.9571,203426.7716,370899.1559
ENSG00000019549.7,SNAI2,65354.529,46607.2281,50375.7862
ENSG00000019582.13,CD74,18242271.55,20271067.16,8851573.347
